date,type,amount,group,category,account,from_account,to_account,note
2022-06-01,investment,150.0,Investieren,ETF,,N26,Scalable Capital,Legacy Import finance.xlsx · Investition
2022-07-01,income,95.0,Einnahmen,Taschengeld,N26,,,Legacy Import finance.xlsx · Einkommen · tg
2022-07-01,income,300.0,Einnahmen,Sonstiges,N26,,,Legacy Import finance.xlsx · Einkommen · legacy income
2022-07-01,income,50.0,Einnahmen,Sonstiges,N26,,,Legacy Import finance.xlsx · Einkommen · legacy income
2022-07-01,income,50.0,Einnahmen,Sonstiges,N26,,,Legacy Import finance.xlsx · Einkommen · legacy income
2022-07-01,expense,9.99,Kommunikation & Abos,Spotify,N26,,,Legacy Import finance.xlsx · Monatswert
2022-07-01,expense,1.99,Kommunikation & Abos,Google,N26,,,Legacy Import finance.xlsx · Monatswert
2022-07-01,expense,19.9,Notwendigkeiten,Gym,N26,,,Legacy Import finance.xlsx · Monatswert
2022-07-01,expense,43.84,Freizeit,Wetten,N26,,,Legacy Import finance.xlsx · Monatswert
2022-07-01,investment,250.0,Investieren,ETF,,N26,Scalable Capital,Legacy Import finance.xlsx · Investition
2022-08-01,income,95.0,Einnahmen,Taschengeld,N26,,,Legacy Import finance.xlsx · Einkommen · tg
2022-08-01,income,96.66,Einnahmen,Sonstiges,N26,,,Legacy Import finance.xlsx · Einkommen · bets
2022-08-01,expense,9.99,Kommunikation & Abos,Spotify,N26,,,Legacy Import finance.xlsx · Monatswert
2022-08-01,expense,1.99,Kommunikation & Abos,Google,N26,,,Legacy Import finance.xlsx · Monatswert
2022-08-01,expense,19.9,Notwendigkeiten,Gym,N26,,,Legacy Import finance.xlsx · Monatswert
2022-08-01,expense,9.0,Notwendigkeiten,Sport,N26,,,Legacy Import finance.xlsx · Monatswert
2022-09-01,income,95.0,Einnahmen,Taschengeld,N26,,,Legacy Import finance.xlsx · Einkommen · tg
2022-09-01,income,1449.2,Einnahmen,Nebenjob,N26,,,Legacy Import finance.xlsx · Einkommen · Arbeit
2022-09-01,income,54.84,Einnahmen,Sonstiges,N26,,,Legacy Import finance.xlsx · Einkommen · legacy income
